# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
0.904594	0.05	10.1806	-11.26598	-6.772042	-0.57734	0.02791	-8.406852
0.96127	0.06	11.49638	-12.87541	-7.58693	-0.48966	0.23631	-9.21931
1.01196	0.07	12.7407	-14.3176	-8.359561	-0.46501	0.38851	-10.01296
1.05802	0.08	13.92687	-15.59965	-9.10248	-0.50292	0.49679	-10.78139
1.10038	0.09	15.0645	-16.72713	-9.82453	-0.59493	0.58532	-11.49677
1.13972	0.1	16.16071	-17.70488	-10.53086	-0.73568	0.60995	-12.20076
1.17651	0.11	17.22088	-18.53699	-11.22561	-0.91813	0.65903	-12.80082
1.21113	0.12	18.24937	-19.2272	-11.90862	-1.13038	0.65572	-13.36111
1.24388	0.13	19.24964	-19.77891	-12.58285	-1.3674	0.66088	-13.81864
1.27499	0.14	20.22456	-20.19527	-13.2491	-1.62621	0.65642	-14.1896
1.30465	0.15	21.17651	-20.4793	-13.90785	-1.89212	0.63563	-14.46713
1.33302	0.16	22.10753	-20.63388	-14.55915	-2.16996	0.59919	-14.65627
1.36023	0.17	23.01934	-20.66179	-15.20257	-2.44672	0.57553	-14.71621
1.3864	0.18	23.91344	-20.56579	-15.84019	-2.71595	0.5577	-14.65079
1.41161	0.19	24.79111	-20.34856	-16.47424	-2.98851	0.51659	-14.50361
1.43595	0.2	25.65352	-20.01283	-17.10134	-3.25152	0.48321	-14.22896
1.4595	0.21	26.50167	-19.56125	-17.72537	-3.50093	0.45872	-13.82716
1.48231	0.22	27.33645	-18.99649	-18.34807	-3.73731	0.39926	-13.34616
1.50443	0.23	28.15867	-18.32131	-18.97147	-3.97504	0.36636	-12.74279
1.52593	0.24	28.96906	-17.53843	-19.59839	-4.18715	0.33567	-12.01924
1.54683	0.25	29.76827	-16.65055	-20.23152	-4.41228	0.30263	-11.22345
1.56719	0.26	30.55689	-15.66051	-20.87198	-4.59756	0.2686	-10.30456
1.58703	0.27	31.33547	-14.57105	-21.52384	-4.79134	0.22415	-9.32661
1.60639	0.28	32.10448	-13.38509	-22.19175	-4.98215	0.18651	-8.268
1.62529	0.29	32.8644	-12.10541	-22.88026	-5.14487	0.15625	-7.10989
1.64376	0.3	33.61562	-10.73492	-23.59191	-5.35592	0.10751	-5.95962
1.66182	0.31	34.35855	-9.27659	-24.34105	-5.523928	0.06472	-4.718298
1.6795	0.32	35.09352	-7.73329	-25.12944	-5.708295	0.01733	-3.460175
1.69682	0.33	35.82088	-6.10804	-25.96799	-5.899123	-0.03389	-2.188163
1.71379	0.34	36.54093	-4.40374	-26.8607	-6.09955	-0.10542	-0.92848
