# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-12.27749	-6.19232	-0.7768600000000001	0.02790999999999988	-9.03815
0.96127	0.06	11.49638	-14.37521	-6.71127	-0.62059	0.23631000000000002	-9.97438
1.01196	0.07	12.74067	-16.40664	-7.13752	-0.47691	0.38851000000000013	-10.89189
1.05802	0.08	13.92687	-18.37959	-7.48995	-0.35090000000000005	0.49678999999999984	-11.796780000000002
1.10038	0.09	15.06452	-20.30014	-7.78361	-0.23887000000000003	0.5853199999999998	-12.672780000000001
1.13972	0.1	16.16071	-22.17318	-8.02937	-0.14138999999999996	0.6099500000000002	-13.573279999999997
1.17651	0.11	17.22088	-24.00276	-8.23767	-0.05789	0.6590299999999998	-14.418409999999998
1.21113	0.12	18.24937	-25.7923	-8.41481	0.01519999999999988	0.6557200000000003	-15.28682
1.24388	0.13	19.24964	-27.54474	-8.56814	0.07938000000000006	0.6608799999999997	-16.122980000000002
1.27499	0.14	20.22456	-29.26263	-8.70369	0.13657000000000002	0.6564199999999998	-16.94877
1.30465	0.15	21.17651	-30.9482	-8.82356	0.18512999999999996	0.6356299999999999	-17.77449
1.33302	0.16	22.10753	-32.60343	-8.93474	0.23010999999999993	0.5991900000000003	-18.601340000000004
1.36023	0.17	23.01934	-34.23007	-9.03727	0.26909000000000005	0.5755299999999999	-19.40338
1.3864	0.18	23.91344	-35.8297	-9.13528	0.3055899999999999	0.5577000000000003	-20.188250000000004
1.41161	0.19	24.79111	-37.40373	-9.23162	0.3377800000000001	0.5165899999999997	-20.989870000000003
1.43595	0.2	25.65352	-38.95344	-9.33075	0.36829999999999996	0.4832099999999997	-21.77916
1.4595	0.21	26.50167	-40.47998	-9.43095	0.39380000000000004	0.45872000000000046	-22.556739999999998
