# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-4.64583	-15.55997	0.46575999999999995	1.0043599999999993	-8.55507
0.96127	0.06	11.49638	-5.39803	-17.91988	0.44079	1.9809	-9.39984
1.01196	0.07	12.74067	-6.12554	-20.11724	0.36087999999999987	2.9489199999999993	-10.192309999999999
1.05802	0.08	13.92687	-6.83197	-22.16814	0.23675999999999986	3.88783	-10.94865
1.10038	0.09	15.06452	-7.51989	-24.08757	0.07621000000000011	4.7737700000000025	-11.69296
1.13972	0.1	16.16071	-8.19122	-25.88612	-0.11073000000000022	5.619690000000002	-12.407669999999996
1.17651	0.11	17.22088	-8.84747	-27.57318	-0.31871000000000027	6.409059999999998	-13.109420000000002
1.21113	0.12	18.24937	-9.48981	-29.15667	-0.54027	7.136760000000004	-13.800619999999993
1.24388	0.13	19.24964	-10.11925	-30.64329	-0.7711499999999996	7.827120000000004	-14.456929999999996
1.27499	0.14	20.22456	-10.73661	-32.03952	-1.0065400000000002	8.457790000000001	-15.100320000000005
1.30465	0.15	21.17651	-11.34259	-33.35279	-1.2447699999999995	9.042079999999999	-15.72156
1.33302	0.16	22.10753	-11.93781	-34.5857	-1.4822799999999998	9.573239999999998	-16.325020000000006
1.36023	0.17	23.01934	-12.52282	-35.74278	-1.7163499999999994	10.071630000000003	-16.89098
1.3864	0.18	23.91344	-13.09809	-36.83043	-1.9463599999999994	10.518109999999995	-17.443330000000003
1.41161	0.19	24.79111	-13.66408	-37.85357	-2.1692600000000004	10.936429999999998	-17.959370000000003
1.43595	0.2	25.65352	-14.22117	-38.81377	-2.3870500000000003	11.305739999999998	-18.46273
1.4595	0.21	26.50167	-14.76973	-39.71527	-2.59428	11.647319999999997	-18.93029
