kf,n,Kin,MBPT_HF,MBPT_2,MBPT_3,MBPT_4,total,Lambda,OrderEFT,Body,x,fit
1.30465,0.15,21.17651,-21.489079999999998,-11.2795,-0.2086699999999999,0.8120400000000005,-10.9887,450,LO,NN-only,0.5,
1.33302,0.16,22.10753,-22.71162,-11.3181,-0.13908999999999996,0.7939999999999996,-11.26728,450,LO,NN-only,0.5,
1.3602299999999998,0.17,23.01934,-23.92061,-11.32483,-0.07252000000000014,0.7980300000000007,-11.500589999999999,450,LO,NN-only,0.5,
1.3864,0.18,23.913439999999998,-25.11662,-11.30362,-0.020080000000000098,0.732260000000001,-11.794619999999998,450,LO,NN-only,0.5,
1.41161,0.19,24.79111,-26.300109999999997,-11.25883,0.03381999999999996,0.7424900000000011,-11.991519999999998,450,LO,NN-only,0.5,
1.43595,0.2,25.65352,-27.47152,-11.19383,0.0772400000000002,0.6411099999999985,-12.293480000000002,450,LO,NN-only,0.5,
1.4595,0.21,26.50167,-28.63123,-11.109169999999999,0.11856000000000012,0.6367299999999996,-12.483439999999998,450,LO,NN-only,0.5,
1.48231,0.22,27.33645,-29.65108,-10.93721,0.15592000000000006,0.5354399999999999,-12.560480000000002,450,LO,NN-only,0.5,
1.50443,0.23,28.15867,-30.77484,-10.823030000000001,0.18689,0.4740600000000002,-12.77825,450,LO,NN-only,0.5,
1.52593,0.24,28.96906,-31.88723,-10.696439999999999,0.2149,0.4122999999999997,-12.98741,450,LO,NN-only,0.5,
1.54683,0.25,29.76827,-32.98851,-10.560030000000001,0.2391400000000001,0.3526499999999997,-13.188479999999995,450,LO,NN-only,0.5,
1.5671899999999999,0.26,30.556890000000003,-34.07893,-10.41591,0.25899000000000005,0.2924099999999994,-13.38655,450,LO,NN-only,0.5,
1.58703,0.27,31.33547,-35.15871,-10.26656,0.27723000000000003,0.2340500000000003,-13.578520000000001,450,LO,NN-only,0.5,
1.60639,0.28,32.10448,-36.22808,-10.11046,0.29057999999999995,0.17822999999999967,-13.765249999999995,450,LO,NN-only,0.5,
1.62529,0.29,32.8644,-37.28723,-9.94979,0.3043,0.12311000000000005,-13.945209999999998,450,LO,NN-only,0.5,
1.6437599999999999,0.3,33.61562,-38.33634,-9.78554,0.3153500000000001,0.08486000000000038,-14.106049999999998,450,LO,NN-only,0.5,
1.66182,0.31,34.35855,-39.3756,-9.619060000000001,0.3240500000000001,0.02469999999999928,-14.287359999999998,450,LO,NN-only,0.5,
1.6795,0.32,35.09352,-40.405159999999995,-9.45138,0.32979,-0.007340000000000123,-14.440570000000005,450,LO,NN-only,0.5,
1.69682,0.33,35.820879999999995,-41.42519,-9.28316,0.3369399999999999,-0.055879999999999715,-14.60641,450,LO,NN-only,0.5,
1.7137900000000001,0.34,36.540929999999996,-42.43584,-9.11386,0.3390100000000001,-0.08125999999999989,-14.751019999999995,450,LO,NN-only,0.5,
1.13972,0.05,16.16071,-5.5666,-1.93533,0.016189999999999982,-0.031680000000000035,8.643289999999999,450,LO,NN+3N,0.0,
1.2111299999999998,0.06,18.249370000000003,-6.53108,-2.0609599999999997,0.10348999999999996,-0.042710000000000026,9.71811,450,LO,NN+3N,0.0,
1.27499,0.07,20.22456,-7.4720699999999995,-2.145,0.17956999999999995,-0.054509999999999975,10.73255,450,LO,NN+3N,0.0,
1.33302,0.08,22.10753,-8.39215,-2.19485,0.24304000000000006,-0.07415,11.68942,450,LO,NN+3N,0.0,
1.3864,0.09,23.913439999999998,-9.29313,-2.2189099999999997,0.2968,-0.09425999999999993,12.60394,450,LO,NN+3N,0.0,
1.43595,0.1,25.65352,-10.17635,-2.22153,0.33847999999999995,-0.11647999999999994,13.477640000000005,450,LO,NN+3N,0.0,
1.48231,0.11,27.33645,-11.042860000000001,-2.20757,0.36954000000000004,-0.13398999999999994,14.32157,450,LO,NN+3N,0.0,
1.52593,0.12,28.96906,-11.89349,-2.18011,0.3938100000000001,-0.1464,15.142870000000002,450,LO,NN+3N,0.0,
1.5671899999999999,0.13,30.556890000000003,-12.72891,-2.14252,0.41197,-0.16110999999999995,15.936319999999995,450,LO,NN+3N,0.0,
1.60639,0.14,32.10448,-13.549679999999999,-2.09665,0.4201600000000001,-0.16840000000000002,16.70991,450,LO,NN+3N,0.0,
1.6437599999999999,0.15,33.61562,-14.35631,-2.04544,0.4237500000000001,-0.1809000000000001,17.456719999999994,450,LO,NN+3N,0.0,
1.6795,0.16,35.09352,-15.14921,-1.98944,0.4265800000000001,-0.18441,18.197039999999998,450,LO,NN+3N,0.0,
1.7137900000000001,0.17,36.540929999999996,-15.928770000000002,-1.93105,0.42162,-0.17727999999999994,18.925450000000005,450,LO,NN+3N,0.0,
1.74675,0.18,37.96021,-16.695339999999998,-1.87027,0.41732,-0.19222,19.619699999999995,450,LO,NN+3N,0.0,
1.77852,0.19,39.35344,-17.44922,-1.8091599999999999,0.40973000000000004,-0.18627,20.31852,450,LO,NN+3N,0.0,
1.80919,0.2,40.722429999999996,-18.190739999999998,-1.74778,0.39783,-0.18891,20.992829999999998,450,LO,NN+3N,0.0,
1.83885,0.21,42.06877,-18.92015,-1.68608,0.38659,-0.17417000000000005,21.67496,450,LO,NN+3N,0.0,
1.86759,0.22,43.39391,-19.44539,-1.61996,0.37238,-0.17660000000000006,22.52434,450,LO,NN+3N,0.0,
1.89547,0.23,44.69911,-20.135289999999998,-1.56056,0.35973000000000005,-0.17132999999999998,23.191659999999995,450,LO,NN+3N,0.0,
1.92255,0.24,45.98552,-20.81353,-1.50252,0.34516,-0.16738000000000006,23.84725,450,LO,NN+3N,0.0,
1.9488900000000002,0.25,47.25419,-21.48039,-1.4461700000000002,0.33236000000000004,-0.16454999999999995,24.49544000000001,450,LO,NN+3N,0.0,
1.97453,0.26,48.50605,-22.136110000000002,-1.39139,0.31930000000000003,-0.15844,25.13941,450,LO,NN+3N,0.0,
1.99953,0.27,49.74195,-22.78095,-1.33836,0.30622,-0.15506999999999993,25.773789999999998,450,LO,NN+3N,0.0,
2.02392,0.28,50.96269,-23.41515,-1.28746,0.29272,-0.14548999999999998,26.407310000000006,450,LO,NN+3N,0.0,
2.04773,0.29,52.16898,-24.03893,-1.23842,0.27967000000000003,-0.13924000000000006,27.032059999999994,450,LO,NN+3N,0.0,
2.0709999999999997,0.3,53.36147,-24.652520000000003,-1.19147,0.26731,-0.13681,27.64798,450,LO,NN+3N,0.0,
2.09376,0.31,54.54079,-25.25615,-1.14601,0.25544999999999995,-0.13601,28.25807,450,LO,NN+3N,0.0,
2.1160400000000004,0.32,55.70749,-25.85003,-1.10276,0.24399000000000004,-0.1214,28.877290000000002,450,LO,NN+3N,0.0,
2.13786,0.33,56.862109999999994,-26.43437,-1.06155,0.23206,-0.11412,29.48413,450,LO,NN+3N,0.0,
2.15924,0.34,58.005109999999995,-27.00938,-1.02167,0.22171,-0.11479,30.080980000000004,450,LO,NN+3N,0.0,
0.90459,0.05,10.18061,-8.28301,-7.58971,-1.26699,-0.43997999999999937,-7.39908,450,LO,NN+3N,0.5,
0.9612700000000001,0.06,11.49638,-9.71307,-8.38711,-1.1588,-0.1699200000000003,-7.932519999999999,450,LO,NN+3N,0.5,
1.01196,0.07,12.74067,-11.11012,-9.047880000000001,-1.0377299999999998,0.06416999999999984,-8.390889999999999,450,LO,NN+3N,0.5,
1.0580200000000002,0.08,13.926870000000001,-12.47907,-9.59338,-0.91438,0.27315999999999896,-8.786800000000001,450,LO,NN+3N,0.5,
1.10038,0.09,15.064520000000002,-13.823479999999998,-10.03898,-0.7909299999999999,0.42539000000000105,-9.16348,450,LO,NN+3N,0.5,
1.13972,0.1,16.16071,-15.145999999999999,-10.40023,-0.67838,0.5745899999999997,-9.489310000000001,450,LO,NN+3N,0.5,
1.17651,0.11,17.220879999999998,-16.44867,-10.687660000000001,-0.5659000000000001,0.6886400000000004,-9.792710000000001,450,LO,NN+3N,0.5,
1.2111299999999998,0.12,18.249370000000003,-17.73312,-10.91132,-0.4663,0.7389099999999997,-10.12246,450,LO,NN+3N,0.5,
1.2438799999999999,0.13,19.24964,-19.00065,-11.0809,-0.3715499999999998,0.7698800000000015,-10.433580000000001,450,LO,NN+3N,0.5,
1.27499,0.14,20.22456,-20.25234,-11.2015,-0.2832300000000001,0.8069400000000009,-10.705569999999998,450,LO,NN+3N,0.5,
1.30465,0.15,21.17651,-21.489079999999998,-11.2795,-0.2086699999999999,0.8120400000000005,-10.9887,450,LO,NN+3N,0.5,
1.33302,0.16,22.10753,-22.71162,-11.3181,-0.13908999999999996,0.7939999999999996,-11.26728,450,LO,NN+3N,0.5,
1.3602299999999998,0.17,23.01934,-23.92061,-11.32483,-0.07252000000000014,0.7980300000000007,-11.500589999999999,450,LO,NN+3N,0.5,
1.3864,0.18,23.913439999999998,-25.11662,-11.30362,-0.020080000000000098,0.732260000000001,-11.794619999999998,450,LO,NN+3N,0.5,
1.41161,0.19,24.79111,-26.300109999999997,-11.25883,0.03381999999999996,0.7424900000000011,-11.991519999999998,450,LO,NN+3N,0.5,
1.43595,0.2,25.65352,-27.47152,-11.19383,0.0772400000000002,0.6411099999999985,-12.293480000000002,450,LO,NN+3N,0.5,
1.4595,0.21,26.50167,-28.63123,-11.109169999999999,0.11856000000000012,0.6367299999999996,-12.483439999999998,450,LO,NN+3N,0.5,
1.48231,0.22,27.33645,-29.65108,-10.93721,0.15592000000000006,0.5354399999999999,-12.560480000000002,450,LO,NN+3N,0.5,
1.50443,0.23,28.15867,-30.77484,-10.823030000000001,0.18689,0.4740600000000002,-12.77825,450,LO,NN+3N,0.5,
1.52593,0.24,28.96906,-31.88723,-10.696439999999999,0.2149,0.4122999999999997,-12.98741,450,LO,NN+3N,0.5,
1.54683,0.25,29.76827,-32.98851,-10.560030000000001,0.2391400000000001,0.3526499999999997,-13.188479999999995,450,LO,NN+3N,0.5,
1.5671899999999999,0.26,30.556890000000003,-34.07893,-10.41591,0.25899000000000005,0.2924099999999994,-13.38655,450,LO,NN+3N,0.5,
1.58703,0.27,31.33547,-35.15871,-10.26656,0.27723000000000003,0.2340500000000003,-13.578520000000001,450,LO,NN+3N,0.5,
1.60639,0.28,32.10448,-36.22808,-10.11046,0.29057999999999995,0.17822999999999967,-13.765249999999995,450,LO,NN+3N,0.5,
1.62529,0.29,32.8644,-37.28723,-9.94979,0.3043,0.12311000000000005,-13.945209999999998,450,LO,NN+3N,0.5,
1.6437599999999999,0.3,33.61562,-38.33634,-9.78554,0.3153500000000001,0.08486000000000038,-14.106049999999998,450,LO,NN+3N,0.5,
1.66182,0.31,34.35855,-39.3756,-9.619060000000001,0.3240500000000001,0.02469999999999928,-14.287359999999998,450,LO,NN+3N,0.5,
1.6795,0.32,35.09352,-40.405159999999995,-9.45138,0.32979,-0.007340000000000123,-14.440570000000005,450,LO,NN+3N,0.5,
1.69682,0.33,35.820879999999995,-41.42519,-9.28316,0.3369399999999999,-0.055879999999999715,-14.60641,450,LO,NN+3N,0.5,
1.7137900000000001,0.34,36.540929999999996,-42.43584,-9.11386,0.3390100000000001,-0.08125999999999989,-14.751019999999995,450,LO,NN+3N,0.5,
1.13972,0.05,16.16071,-5.22628,-2.2209,-0.08396999999999992,-0.04309000000000002,8.586470000000002,500,LO,NN-only,0.0,
1.2111299999999998,0.06,18.249370000000003,-6.1322,-2.43085,0.011699999999999931,-0.04274999999999996,9.655269999999998,500,LO,NN-only,0.0,
1.27499,0.07,20.22456,-7.0181,-2.59647,0.10494999999999988,-0.053700000000000025,10.66124,500,LO,NN-only,0.0,
1.33302,0.08,22.10753,-7.886589999999999,-2.72451,0.19098999999999994,-0.06849000000000002,11.61893,500,LO,NN-only,0.0,
1.3864,0.09,23.913439999999998,-8.739519999999999,-2.8216200000000002,0.2690500000000001,-0.08460999999999996,12.536740000000002,500,LO,NN-only,0.0,
1.43595,0.1,25.65352,-9.57825,-2.89166,0.34032,-0.10509000000000003,13.41884,500,LO,NN-only,0.0,
1.48231,0.11,27.33645,-10.40381,-2.93922,0.40064,-0.1295900000000001,14.264469999999998,500,LO,NN-only,0.0,
1.52593,0.12,28.96906,-11.21701,-2.96786,0.4526200000000001,-0.15108,15.085729999999995,500,LO,NN-only,0.0,
1.5671899999999999,0.13,30.556890000000003,-12.01852,-2.9805200000000003,0.4976200000000001,-0.17098999999999998,15.884479999999998,500,LO,NN-only,0.0,
1.60639,0.14,32.10448,-12.80884,-2.97896,0.5324899999999999,-0.1926000000000001,16.656570000000002,500,LO,NN-only,0.0,
1.6437599999999999,0.15,33.61562,-13.58844,-2.96519,0.56313,-0.21613000000000004,17.408990000000006,500,LO,NN-only,0.0,
1.6795,0.16,35.09352,-14.35769,-2.94232,0.58609,-0.23253,18.147070000000003,500,LO,NN-only,0.0,
1.7137900000000001,0.17,36.540929999999996,-15.11691,-2.91111,0.60601,-0.24165000000000006,18.877270000000006,500,LO,NN-only,0.0,
1.74675,0.18,37.96021,-15.866389999999999,-2.87296,0.6163,-0.25631999999999994,19.580839999999995,500,LO,NN-only,0.0,
1.77852,0.19,39.35344,-16.60639,-2.8289,0.6239100000000001,-0.26791,20.274149999999995,500,LO,NN-only,0.0,
1.80919,0.2,40.722429999999996,-17.33711,-2.78045,0.62844,-0.2679300000000001,20.965380000000007,500,LO,NN-only,0.0,
1.83885,0.21,42.06877,-18.05878,-2.72854,0.62805,-0.2766100000000001,21.63289,500,LO,NN-only,0.0,
1.86759,0.22,43.39391,-18.5633,-2.66065,0.6220399999999999,-0.2805599999999999,22.511439999999997,500,LO,NN-only,0.0,
1.89547,0.23,44.69911,-19.2491,-2.60407,0.61711,-0.2856999999999999,23.17735,500,LO,NN-only,0.0,
1.92255,0.24,45.98552,-19.925910000000002,-2.5455799999999997,0.6102599999999999,-0.28648,23.83781,500,LO,NN-only,0.0,
1.9488900000000002,0.25,47.25419,-20.59389,-2.48671,0.6013399999999999,-0.28491999999999995,24.490010000000005,500,LO,NN-only,0.0,
1.97453,0.26,48.50605,-21.253220000000002,-2.42682,0.59155,-0.28509,25.132470000000005,500,LO,NN-only,0.0,
1.99953,0.27,49.74195,-21.90408,-2.3665700000000003,0.58024,-0.2807000000000001,25.770840000000003,500,LO,NN-only,0.0,
2.02392,0.28,50.96269,-22.54661,-2.30592,0.5679600000000001,-0.27985,26.39827,500,LO,NN-only,0.0,
