,kf,n,Kin,MBPT_HF,MBPT_2,MBPT_3,MBPT_4,total,Lambda,OrderEFT,Body,x,fit
39,1.27499,0.14,20.22456,-20.25234,-11.2015,-0.2832300000000001,0.8069400000000009,-10.72367364602178,450,LO,NN-only,0.5,
40,1.30465,0.15,21.17651,-21.48908,-11.2795,-0.2086699999999999,0.8120400000000005,-10.99269381643171,450,LO,NN-only,0.5,
41,1.33302,0.16,22.10753,-22.71162,-11.3181,-0.13908999999999996,0.7939999999999996,-11.250782022136264,450,LO,NN-only,0.5,
42,1.3602299999999998,0.17,23.01934,-23.92061,-11.32483,-0.07252000000000014,0.7980300000000007,-11.498990108517319,450,LO,NN-only,0.5,
43,1.3864,0.18,23.91344,-25.11662,-11.30362,-0.020080000000000098,0.732260000000001,-11.738294434166164,450,LO,NN-only,0.5,
44,1.41161,0.19,24.79111,-26.30011,-11.25883,0.03381999999999996,0.7424900000000011,-11.969320803291339,450,LO,NN-only,0.5,
45,1.43595,0.2,25.65352,-27.47152,-11.19383,0.0772400000000002,0.6411099999999985,-12.19280020667793,450,LO,NN-only,0.5,
46,1.4595,0.21,26.50167,-28.63123,-11.10917,0.11856000000000012,0.6367299999999996,-12.409384844275337,450,LO,NN-only,0.5,
47,1.48231,0.22,27.33645,-29.65108,-10.93721,0.15592000000000006,0.5354399999999999,-12.619461764650623,450,LO,NN-only,0.5,
48,1.50443,0.23,28.15867,-30.77484,-10.82303,0.18689,0.4740600000000002,-12.823426589544397,450,LO,NN-only,0.5,
49,1.52593,0.24,28.96906,-31.88723,-10.69644,0.2149,0.4122999999999997,-13.021867080053198,450,LO,NN-only,0.5,
50,1.54683,0.25,29.76827,-32.98851,-10.56003,0.2391400000000001,0.3526499999999997,-13.214915782642493,450,LO,NN-only,0.5,
51,1.56719,0.26,30.556890000000006,-34.07893,-10.41591,0.25899000000000005,0.2924099999999994,-13.403079370520572,450,LO,NN-only,0.5,
