# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
0.904594	0.05	10.1806	-11.120600000000001	-6.855924999999999	-0.54262	-0.05574000000000012	-8.394285
0.961274	0.06	11.4964	-12.68441	-7.7255579999999995	-0.43531	0.1223099999999997	-9.226568
1.01196	0.07	12.7407	-14.082410000000001	-8.5646	-0.37571000000000004	0.25554999999999994	-10.026470000000002
1.05802	0.08	13.9269	-15.32326	-9.385532999999999	-0.35985999999999996	0.36193000000000053	-10.779822999999997
1.10038	0.09	15.0645	-16.41397	-10.195504	-0.38122000000000006	0.4376500000000001	-11.488544
1.13972	0.1	16.1607	-17.36064	-11.000533	-0.4348400000000001	0.5144400000000005	-12.120873000000001
1.17651	0.11	17.2209	-18.16824	-11.802023999999998	-0.51164	0.5518099999999997	-12.709193999999998
1.21113	0.12	18.2494	-18.84132	-12.602447	-0.60629	0.5825599999999995	-13.218096999999998
1.24388	0.13	19.2496	-19.38407	-13.404511	-0.7134100000000001	0.6109199999999997	-13.641471
1.27499	0.14	20.2246	-19.80021	-14.205034	-0.8238599999999999	0.6440999999999999	-13.960404
1.30465	0.15	21.1765	-20.093110000000003	-15.009658	-0.93956	0.6534700000000009	-14.212358000000002
1.33302	0.16	22.1075	-20.266199999999998	-15.813832999999999	-1.0498500000000002	0.6540099999999995	-14.368372999999995
1.36023	0.17	23.0193	-20.322200000000002	-16.620908	-1.15674	0.6572699999999996	-14.423278
1.3864	0.18	23.9134	-20.2641	-17.430271	-1.2489400000000002	0.6697400000000009	-14.360171000000001
1.41161	0.19	24.79111	-20.094769999999997	-18.24409	-1.3357899999999998	0.6684100000000006	-14.215129999999995
1.43595	0.2	25.6535	-19.8166	-19.06026	-1.4018899999999999	0.6487999999999996	-13.97645
1.4595	0.21	26.50167	-19.432440000000003	-19.882170000000002	-1.4551599999999998	0.6635800000000001	-13.604520000000004
