# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
0.90459	0.05	10.18061	-11.333649999999999	-6.84449	-0.11510999999999999	-0.14806000000000008	-8.2607
0.96127	0.06	11.49638	-12.97012	-7.6237699999999995	0.06386000000000001	0.02878000000000025	-9.00487
1.01196	0.07	12.74067	-14.441860000000002	-8.36051	0.17447000000000007	0.15653000000000006	-9.730700000000002
1.05802	0.08	13.92687	-15.75488	-9.07203	0.21959999999999996	0.2515999999999998	-10.428840000000001
1.10038	0.09	15.06452	-16.91378	-9.77135	0.20602999999999988	0.31277	-11.101809999999999
1.13972	0.1	16.16071	-17.922259999999998	-10.46579	0.14316000000000012	0.34886000000000017	-11.735319999999996
1.17651	0.11	17.22088	-18.783430000000003	-11.16162	0.04316999999999993	0.36213999999999946	-12.31886
1.21113	0.12	18.24937	-19.49996	-11.863019999999999	-0.0799399999999999	0.3629899999999995	-12.830560000000002
1.24388	0.13	19.24964	-20.07424	-12.56986	-0.2270699999999998	0.36958000000000024	-13.25195
1.27499	0.14	20.22456	-20.5084	-13.2869	-0.38131000000000015	0.34894999999999987	-13.603100000000001
1.30465	0.15	21.17651	-20.804450000000003	-14.012530000000002	-0.5280500000000001	0.33064000000000004	-13.837880000000004
1.33302	0.16	22.10753	-20.96423	-14.746400000000001	-0.6757600000000001	0.3248500000000001	-13.954010000000002
1.36023	0.17	23.01934	-20.989510000000003	-15.48925	-0.7985500000000001	0.29972	-13.958250000000003
1.3864	0.18	23.91344	-20.88201	-16.24098	-0.91189	0.2605799999999996	-13.86086
1.41161	0.19	24.79111	-20.643370000000004	-16.99918	-1.0009299999999999	0.23417999999999983	-13.618190000000004
1.43595	0.2	25.65352	-20.275209999999998	-17.76306	-1.0517900000000004	0.19720000000000049	-13.239339999999997
1.4595	0.21	26.50167	-19.779139999999998	-18.53236	-1.0558200000000002	0.19376999999999955	-12.671879999999998
