# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
0.90459	0.05	10.18061	-11.15686	-6.801349999999999	-0.57335	-0.05362	-8.40457
0.96127	0.06	11.49638	-12.74018	-7.64276	-0.46625	0.11648999999999976	-9.23632
1.01196	0.07	12.74067	-14.16232	-8.44637	-0.4030500000000001	0.2584900000000001	-10.01258
1.05802	0.08	13.92687	-15.432110000000002	-9.2268	-0.37679	0.3690899999999999	-10.739740000000003
1.10038	0.09	15.06452	-16.55667	-9.99206	-0.38987999999999995	0.43867999999999974	-11.435410000000001
1.13972	0.1	16.16071	-17.54204	-10.74635	-0.43012000000000006	0.5133700000000001	-12.044429999999998
1.17651	0.11	17.22088	-18.39338	-11.49474	-0.49283999999999994	0.5544700000000002	-12.605609999999999
1.21113	0.12	18.24937	-19.11527	-12.23841	-0.5694000000000001	0.5922799999999997	-13.081430000000001
1.24388	0.13	19.24964	-19.71185	-12.977260000000001	-0.65627	0.6107300000000002	-13.485009999999999
1.27499	0.14	20.22456	-20.18683	-13.716899999999999	-0.7518900000000001	0.6391800000000001	-13.791879999999999
1.30465	0.15	21.17651	-20.54369	-14.455919999999999	-0.84005	0.6612699999999996	-14.00188
1.33302	0.16	22.10753	-20.785649999999997	-15.19245	-0.93899	0.6549399999999999	-14.154619999999996
1.36023	0.17	23.01934	-20.91572	-15.93072	-1.0242499999999999	0.6527699999999999	-14.198580000000002
1.3864	0.18	23.91344	-20.93674	-16.670099999999998	-1.1013100000000002	0.6805700000000008	-14.114139999999995
1.41161	0.19	24.79111	-20.851459999999996	-17.40964	-1.16193	0.6679999999999997	-13.963919999999996
1.43595	0.2	25.65352	-20.662449999999996	-18.152900000000002	-1.2281900000000001	0.6809800000000008	-13.709039999999998
1.4595	0.21	26.50167	-20.37222	-18.90117	-1.27119	0.6618999999999997	-13.381009999999998
