# kf	n	Kin	HF_tot	Scnd_tot	Trd_tot	Fth_tot	total
1.13972	0.05	16.16071	-7.72054	-1.5003900000000001	0.1298	-0.04575	7.023830000000002
1.21113	0.06	18.24937	-8.82048	-1.7301499999999999	0.1601	-0.044130000000000016	7.814709999999999
1.27499	0.07	20.22456	-9.80077	-1.96638	0.18078000000000002	-0.04089000000000001	8.5973
1.33302	0.08	22.10753	-10.66633	-2.20558	0.19477999999999998	-0.03519000000000001	9.39521
1.3864	0.09	23.91344	-11.42144	-2.44332	0.20254000000000003	-0.03110999999999997	10.220110000000002
1.43595	0.1	25.65352	-12.070020000000001	-2.67625	0.20507	-0.02405999999999997	11.088259999999998
1.48231	0.11	27.33645	-12.61572	-2.90045	0.20342	-0.018610000000000015	12.00509
1.52593	0.12	28.96906	-13.062259999999998	-3.11457	0.19395999999999994	-0.017110000000000014	12.96908
1.56719	0.13	30.55689	-13.413340000000002	-3.3154199999999996	0.19210000000000002	-0.014629999999999976	14.005599999999998
1.60639	0.14	32.10448	-13.672699999999999	-3.5023	0.17884000000000003	-0.01170999999999997	15.096610000000002
1.64376	0.15	33.61562	-13.844270000000002	-3.6742600000000003	0.16945000000000005	-0.008740000000000026	16.2578
1.6795	0.16	35.09352	-13.932139999999999	-3.8318	0.16003	-0.007770000000000027	17.48184
1.71379	0.17	36.54093	-13.94048	-3.9756	0.13745000000000002	-0.011630000000000001	18.750670000000003
1.74675	0.18	37.96021	-13.873700000000001	-4.10498	0.12766	-0.01068000000000005	20.098509999999994
1.77852	0.19	39.35344	-13.73625	-4.22214	0.10734000000000003	-0.009809999999999985	21.49258
1.80919	0.2	40.72243	-13.53279	-4.327400000000001	0.09045000000000002	-0.011150000000000049	22.941540000000003
1.83885	0.21	42.06877	-13.26774	-4.42506	0.05538000000000001	-0.019119999999999943	24.41223
1.86759	0.22	43.39391	-12.77223	-4.48408	0.05531520000000004	-0.020919999999999994	26.171995199999998
1.89547	0.23	44.69911	-12.382959999999999	-4.56405	-0.014252850000000039	-0.025829999999999964	27.71201715
1.92255	0.24	45.98552	-11.94565	-4.63906	-0.0008294799999999936	-0.030739999999999934	29.369240519999998
1.94889	0.25	47.25419	-11.4651	-4.71077	-0.08411454500000001	-0.03538000000000005	30.958825455000003
1.97453	0.26	48.50605	-10.945640000000001	-4.780320000000001	-0.06589976900000004	-0.04369000000000009	32.670500231000005
1.99953	0.27	49.74195	-10.39132	-4.84877	-0.14800145	-0.05109999999999995	34.30275855
2.02392	0.28	50.96269	-9.806470000000001	-4.9184600000000005	-0.20705430999999996	-0.05980999999999992	35.970895690000006
2.04773	0.29	52.16898	-9.195209999999996	-4.98912	-0.19842810000000002	-0.06968999999999997	37.7165319
2.071	0.3	53.36147	-8.560759999999998	-5.06278	-0.21327080000000007	-0.0816	39.44305919999999
2.09376	0.31	54.54079	-7.906890000000001	-5.14024	-0.26889334600000003	-0.09288000000000002	41.131886654
2.11604	0.32	55.70749	-7.237029999999997	-5.219469999999999	-0.32203000000000004	-0.10934000000000005	42.81962
2.13786	0.33	56.86211	-6.5539999999999985	-5.30998	-0.28877677000000007	-0.1256199999999999	44.58373323
2.15924	0.34	58.00511	-5.860990000000001	-5.402559999999999	-0.3652073120000001	-0.14264999999999983	46.233702687999994
