#kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot
1.13972	0.05	16.16071	-7.48708	-2.23275	0.22391	-0.06983999999999999
1.21113	0.06	18.24937	-8.69371	-2.57778	0.28423	-0.06309999999999999
1.27499	0.07	20.22456	-9.83991	-2.91131	0.33198	-0.05448000000000003
1.33302	0.08	22.10753	-10.93239	-3.23193	0.36801	-0.04136000000000006
1.3864	0.09	23.91344	-11.97668	-3.54	0.39274	-0.025519999999999987
1.43595	0.1	25.65352	-12.97743	-3.83435	0.40708	-0.010399999999999965
1.48231	0.11	27.33645	-13.9386	-4.11597	0.41366	0.0028699999999999837
1.52593	0.12	28.96906	-14.86359	-4.38554	0.41322	0.016030000000000044
1.56719	0.13	30.55689	-15.75534	-4.64362	0.40634	0.03253000000000006
1.60639	0.14	32.10448	-16.61639	-4.89	0.39373	0.04135999999999995
1.64376	0.15	33.61562	-17.44895	-5.12783	0.37797000000000003	0.05141000000000007
1.6795	0.16	35.09352	-18.25494	-5.3586	0.35921	0.06001999999999996
1.71379	0.17	36.54093	-19.03606	-5.58296	0.33868	0.06833999999999996
1.74675	0.18	37.96021	-19.79378	-5.80189	0.31547000000000003	0.06927999999999979
1.77852	0.19	39.35344	-20.52942	-6.01625	0.29201000000000005	0.07325000000000004
1.80919	0.2	40.72243	-21.24413	-6.23018	0.26834	0.07238999999999984
1.83885	0.21	42.06877	-21.93896	-6.44299	0.24470000000000008	0.08029000000000008
