# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-13.09879	-5.4639	-0.6326999999999999	-0.1283399999999999	-9.143119999999998
0.96127	0.06	11.49638	-15.32214	-5.77279	-0.46058999999999994	-0.00778000000000012	-10.06692
1.01196	0.07	12.74067	-17.46725	-5.98949	-0.3136399999999999	0.07909999999999995	-10.95061
1.05802	0.08	13.92687	-19.54204	-6.13767	-0.19082999999999994	0.13648999999999956	-11.80718
1.10038	0.09	15.06452	-21.55263	-6.23521	-0.09204000000000007	0.16212999999999944	-12.653230000000002
1.13972	0.1	16.16071	-23.50398	-6.29411	-0.01095999999999997	0.1636099999999998	-13.484729999999997
1.17651	0.11	17.22088	-25.40022	-6.3228	0.05500999999999995	0.15268999999999977	-14.294440000000002
1.21113	0.12	18.24937	-27.24486	-6.32919	0.10804000000000005	0.1540699999999997	-15.062570000000001
1.24388	0.13	19.24964	-29.04093	-6.31797	0.14836	0.13831999999999978	-15.822579999999999
1.27499	0.14	20.22456	-30.79112	-6.29537	0.18304000000000004	0.11942000000000008	-16.55947
1.30465	0.15	21.17651	-32.49781	-6.26304	0.20809000000000005	0.0913999999999997	-17.284850000000002
1.33302	0.16	22.10753	-34.16312	-6.22647	0.22902000000000006	0.09029999999999982	-17.96274
1.36023	0.17	23.01934	-35.78898	-6.18776	0.24532000000000004	0.04872999999999972	-18.663350000000005
1.3864	0.18	23.91344	-37.37717	-6.14826	0.2575400000000001	0.03140999999999994	-19.32304
1.41161	0.19	24.79111	-38.92928	-6.10978	0.26896000000000003	0.015409999999999924	-19.96358
1.43595	0.2	25.65352	-40.4468	-6.07434	0.27531	0.0015400000000000968	-20.590770000000003
1.4595	0.21	26.50167	-41.93111	-6.04076	0.28244	-0.012499999999999956	-21.200259999999993
1.48231	0.22	27.33645	-43.24054	-5.97078	0.28385000000000005	-0.04123999999999983	-21.632260000000002
1.50443	0.23	28.15867	-44.6463	-5.94667	0.28778000000000004	-0.0589799999999997	-22.205499999999994
1.52593	0.24	28.96906	-46.02159	-5.92851	0.29185	-0.07718000000000014	-22.766370000000002
1.54683	0.25	29.76827	-47.36744	-5.91801	0.29511000000000004	-0.0897	-23.31177
1.56719	0.26	30.55689	-48.68484	-5.91531	0.29817	-0.11006999999999989	-23.855160000000005
1.58703	0.27	31.33547	-49.97469	-5.92067	0.30079	-0.12561999999999995	-24.384720000000005
1.60639	0.28	32.10448	-51.23786	-5.93519	0.30443	-0.14323999999999992	-24.907379999999993
1.62529	0.29	32.8644	-52.47517	-5.95971	0.30826000000000003	-0.16205000000000014	-25.424269999999996
1.64376	0.3	33.61562	-53.68737	-5.99524	0.31250999999999995	-0.1752800000000001	-25.92976
1.66182	0.31	34.35855	-54.87518	-6.04257	0.31689999999999996	-0.20359999999999978	-26.4459
1.6795	0.32	35.09352	-56.0393	-6.10239	0.32139999999999996	-0.22350000000000003	-26.95027
1.69682	0.33	35.82088	-57.18036	-6.17654	0.32899	-0.2481300000000003	-27.455159999999996
1.71379	0.34	36.54093	-58.29897	-6.26605	0.3355	-0.2822699999999998	-27.970859999999995
