# kf	n	Kin	HF_NN	Scnd_NN	Trd_NN_tot	Fth_tot	total
0.90459	0.05	10.18061	-12.20211	-6.27441	-0.5672900000000001	-0.15328000000000008	-9.01648
0.96127	0.06	11.49638	-14.263	-6.77194	-0.39765	0.026810000000000667	-9.9094
1.01196	0.07	12.74067	-16.24958	-7.17151	-0.252	0.15450000000000008	-10.777920000000002
1.05802	0.08	13.92687	-18.16929	-7.49355	-0.13015999999999994	0.2538999999999998	-11.612230000000002
1.10038	0.09	15.06452	-20.02789	-7.75444	-0.030679999999999985	0.31000000000000005	-12.43849
1.13972	0.1	16.16071	-21.83	-7.96531	0.049510000000000054	0.3554900000000001	-13.229599999999996
1.17651	0.11	17.22088	-23.57944	-8.13587	0.11372999999999997	0.3608000000000007	-14.0199
1.21113	0.12	18.24937	-25.27947	-8.27413	0.16516999999999996	0.38050000000000006	-14.758560000000001
1.24388	0.13	19.24964	-26.93289	-8.3848	0.20456999999999992	0.3663899999999991	-15.49709
1.27499	0.14	20.22456	-28.54216	-8.47536	0.23654000000000003	0.3489899999999997	-16.20743
1.30465	0.15	21.17651	-30.10949	-8.54758	0.25894999999999996	0.33823000000000003	-16.883380000000002
1.33302	0.16	22.10753	-31.63683	-8.6063	0.27662000000000003	0.3243699999999996	-17.534609999999997
1.36023	0.17	23.01934	-33.12597	-8.65364	0.29095	0.29981000000000013	-18.169510000000002
1.3864	0.18	23.91344	-34.57855	-8.69233	0.29969999999999997	0.27136000000000005	-18.786379999999994
1.41161	0.19	24.79111	-35.99607	-8.72477	0.30683	0.24568999999999996	-19.37721
1.43595	0.2	25.65352	-37.3799	-8.75142	0.31195	0.20449000000000028	-19.96136
1.4595	0.21	26.50167	-38.73135	-8.77543	0.31467	0.16948000000000008	-20.52096
1.48231	0.22	27.33645	-39.90797	-8.72886	0.31217	0.15581	-20.8324
1.50443	0.23	28.15867	-41.18216	-8.74731	0.31315000000000004	0.1298700000000006	-21.32778
1.52593	0.24	28.96906	-42.4265	-8.76706	0.31281000000000003	0.10498000000000052	-21.80671
1.54683	0.25	29.76827	-43.64199	-8.7877	0.3129	0.08336999999999994	-22.265150000000002
1.56719	0.26	30.55689	-44.82957	-8.81148	0.31177999999999995	0.057439999999999936	-22.71494
1.58703	0.27	31.33547	-45.99014	-8.83915	0.31076	0.036809999999999565	-23.14625
1.60639	0.28	32.10448	-47.12455	-8.87091	0.31022	0.015169999999999906	-23.565589999999997
1.62529	0.29	32.8644	-48.2336	-8.90799	0.30945	-0.008429999999999938	-23.97617
1.64376	0.3	33.61562	-49.31806	-8.95049	0.30986	-0.03000000000000025	-24.373070000000006
1.66182	0.31	34.35855	-50.37865	-8.99956	0.31043	-0.05021999999999971	-24.75945
1.6795	0.32	35.09352	-51.41606	-9.0563	0.31113	-0.07318999999999987	-25.140900000000006
1.69682	0.33	35.82088	-52.43096	-9.12086	0.31277	-0.09572999999999965	-25.513899999999996
1.71379	0.34	36.54093	-53.42398	-9.19474	0.31426	-0.11701000000000006	-25.880539999999996
